略称,チーム名,失点_試合平均,総失点,サック数,サック_順位,インターセプト数,INT_順位,ファンブルリカバー,ターンオーバー奪取,奪取_順位,得失点差,ロスタックル数,ロスタックル_順位,パスカット数,守備TD,セーフティ,キック_パントブロック,総タックル数
ARI,アリゾナ・カージナルス,28.7,488,30,28,10,18,9,19,19,-133,70,24,81,2,1,3,1326
ATL,アトランタ・ファルコンズ,23.6,401,57,2,16,6,7,23,7,-48,95,4,87,1,0,1,1246
BAL,ボルチモア・レイブンズ,23.4,398,30,28,11,16,9,20,15,+26,66,27,73,2,0,2,1308
BUF,バッファロー・ビルズ,21.5,365,36,20,13,11,7,20,15,+116,84,12,62,3,0,1,1171
CAR,カロライナ・パンサーズ,22.4,380,30,28,15,8,6,21,10,-69,65,30,64,2,0,1,1287
CHI,シカゴ・ベアーズ,24.4,415,35,22,23,1,10,33,1,+26,66,27,75,2,0,1,1275
CIN,シンシナティ・ベンガルズ,28.9,492,34,26,13,11,8,21,10,-78,56,32,76,2,0,1,1359
CLE,クリーブランド・ブラウンズ,22.3,379,53,3,11,16,7,18,22,-100,117,1,65,4,0,2,1331
DAL,ダラス・カウボーイズ,30.1,511,35,22,6,29,6,12,30,-40,83,14,42,2,1,3,1347
DEN,デンバー・ブロンコス,18.3,311,68,1,10,18,4,14,26,+90,82,17,94,2,0,2,1282
DET,デトロイト・ライオンズ,24.3,413,49,4,13,11,6,19,19,+68,67,26,93,1,1,0,1245
GB,グリーンベイ・パッカーズ,21.2,360,36,20,7,28,7,14,26,+31,72,22,59,0,0,0,1321
HOU,ヒューストン・テキサンズ,17.4,295,47,7,19,3,10,29,3,+109,92,5,90,4,0,3,1216
IND,インディアナポリス・コルツ,24.2,412,39,15,14,10,7,21,10,+54,84,12,79,1,0,2,1347
JAX,ジャクソンビル・ジャガーズ,19.8,336,32,27,22,2,9,31,2,+138,77,18,107,4,1,0,1207
KC,カンザスシティ・チーフス,19.3,328,35,22,10,18,4,14,26,+34,74,20,60,0,0,1,1271
LAC,ロサンゼルス・チャージャーズ,20.0,340,45,10,19,3,4,23,7,+28,90,7,84,0,1,0,1176
LAR,ロサンゼルス・ラムズ,20.4,346,47,7,16,6,10,26,5,+172,66,27,82,2,0,2,1208
LV,ラスベガス・レイダース,25.4,432,37,18,8,25,8,16,23,-191,105,3,52,0,1,0,1307
MIA,マイアミ・ドルフィンズ,24.9,424,39,15,9,23,11,20,15,-77,74,20,53,1,0,2,1305
MIN,ミネソタ・バイキングス,19.6,333,49,4,8,25,13,21,10,+11,107,2,55,2,0,2,1362
NE,ニューイングランド・ペイトリオッツ,18.8,320,35,22,10,18,9,19,19,+170,87,11,67,6,1,0,1222
NO,ニューオーリンズ・セインツ,22.5,383,45,10,10,18,10,20,15,-77,90,7,79,3,0,2,1248
NYG,ニューヨーク・ジャイアンツ,25.8,439,39,15,9,23,6,15,25,-58,91,6,77,3,0,0,1258
NYJ,ニューヨーク・ジェッツ,29.6,503,26,31,0,32,4,4,32,-203,77,18,67,4,1,1,1298
PHI,フィラデルフィア・イーグルス,19.1,325,42,12,12,15,9,21,10,+54,71,23,90,3,0,4,1276
PIT,ピッツバーグ・スティーラーズ,22.8,387,48,6,15,8,12,27,4,+10,89,9,91,3,1,0,1356
SEA,シアトル・シーホークス,17.2,292,47,7,18,5,7,25,6,+191,89,10,96,7,0,3,1327
SF,サンフランシスコ・フォーティナイナーズ,21.8,371,20,32,6,29,10,16,23,+66,65,30,56,1,0,1,1301
TB,タンパベイ・バッカニアーズ,24.2,411,37,18,13,11,10,23,7,-31,83,14,69,2,1,0,1157
TEN,テネシー・タイタンズ,28.1,478,42,12,6,29,8,14,26,-194,83,14,63,3,1,2,1206
WSH,ワシントン・コマンダーズ,26.5,451,42,12,8,25,2,10,31,-95,69,25,70,2,1,2,1302
