指名順,略称,チーム名,選手名,ポジション,大学
1,LV,ラスベガス・レイダース,Fernando Mendoza,QB,インディアナ大
2,NYJ,ニューヨーク・ジェッツ,David Bailey,OLB,テキサス工科大
3,ARI,アリゾナ・カージナルス,Jeremiyah Love,RB,ノートルダム大
4,TEN,テネシー・タイタンズ,Carnell Tate,WR,オハイオ州立大
5,NYG,ニューヨーク・ジャイアンツ,Arvell Reese,LB,オハイオ州立大
6,KC,カンザスシティ・チーフス,Mansoor Delane,CB,ルイジアナ州立大
7,WSH,ワシントン・コマンダーズ,Sonny Styles,LB,オハイオ州立大
8,NO,ニューオーリンズ・セインツ,Jordyn Tyson,WR,アリゾナ州立大
9,CLE,クリーブランド・ブラウンズ,Spencer Fano,OT,ユタ大
10,NYG,ニューヨーク・ジャイアンツ,Francis Mauigoa,OG,マイアミ大
11,DAL,ダラス・カウボーイズ,Caleb Downs,S,オハイオ州立大
12,MIA,マイアミ・ドルフィンズ,Kadyn Proctor,OT,アラバマ大
13,LAR,ロサンゼルス・ラムズ,Ty Simpson,QB,アラバマ大
14,BAL,ボルチモア・レイブンズ,Vega Ioane,OG,ペンシルベニア州立大
15,TB,タンパベイ・バッカニアーズ,Rueben Bain Jr.,DE,マイアミ大
16,NYJ,ニューヨーク・ジェッツ,Kenyon Sadiq,TE,オレゴン大
17,DET,デトロイト・ライオンズ,Blake Miller,OT,クレムソン大
18,MIN,ミネソタ・バイキングス,Caleb Banks,DE,フロリダ大
19,CAR,カロライナ・パンサーズ,Monroe Freeling,OT,ジョージア大
20,PHI,フィラデルフィア・イーグルス,Makai Lemon,WR,南カリフォルニア大
21,PIT,ピッツバーグ・スティーラーズ,Max Iheanachor,OT,アリゾナ州立大
22,LAC,ロサンゼルス・チャージャーズ,Akheem Mesidor,OLB,マイアミ大
23,DAL,ダラス・カウボーイズ,Malachi Lawrence,DE,中央フロリダ大
24,CLE,クリーブランド・ブラウンズ,KC Concepcion,WR,テキサスA&M大
25,CHI,シカゴ・ベアーズ,Dillon Thieneman,S,オレゴン大
26,HOU,ヒューストン・テキサンズ,Keylan Rutledge,OG,ジョージア工科大
27,MIA,マイアミ・ドルフィンズ,Chris Johnson,CB,サンディエゴ州立大
28,NE,ニューイングランド・ペイトリオッツ,Caleb Lomu,OT,ユタ大
29,KC,カンザスシティ・チーフス,Peter Woods,DT,クレムソン大
30,NYJ,ニューヨーク・ジェッツ,Omar Cooper Jr.,WR,インディアナ大
31,TEN,テネシー・タイタンズ,Keldric Faulk,DE,オーバーン大
32,SEA,シアトル・シーホークス,Jadarian Price,RB,ノートルダム大
