略称,チーム名,選手名,ポジション,状態,負傷箇所
ARI,アリゾナ・カージナルス,Tip Reiman,TE,出場不可,Ankle
ARI,アリゾナ・カージナルス,Kaleb Proctor,DT,故障者リスト(今季絶望〜長期),Knee - Meniscus
ARI,アリゾナ・カージナルス,Zachary Carter,DT,故障者リスト(今季絶望〜長期),Knee
ARI,アリゾナ・カージナルス,James Conner,RB,故障者リスト(今季絶望〜長期),Foot
ARI,アリゾナ・カージナルス,Trey Benson,RB,故障者リスト(今季絶望〜長期),Knee
ATL,アトランタ・ファルコンズ,Storm Norton,OT,出場不可,Foot
ATL,アトランタ・ファルコンズ,Michael Penix Jr.,QB,出場不可,Knee - ACL
ATL,アトランタ・ファルコンズ,Anterio Thompson,DT,出場不可,Undisclosed
ATL,アトランタ・ファルコンズ,Trey Sermon,RB,故障者リスト(今季絶望〜長期),Undisclosed
ATL,アトランタ・ファルコンズ,Keshawn Banks,DE,故障者リスト(今季絶望〜長期),Undisclosed
ATL,アトランタ・ファルコンズ,JD Bertrand,LB,故障者リスト(今季絶望〜長期),Undisclosed
ATL,アトランタ・ファルコンズ,Beaux Collins,WR,故障者リスト(今季絶望〜長期),Undisclosed
ATL,アトランタ・ファルコンズ,Malik Verdon,LB,故障者リスト(今季絶望〜長期),Undisclosed
BAL,ボルチモア・レイブンズ,Bilhal Kone,CB,故障者リスト(今季絶望〜長期),Lower Body
BAL,ボルチモア・レイブンズ,Adam Randall,RB,故障者リスト(今季絶望〜長期),Undisclosed
BAL,ボルチモア・レイブンズ,Danny Pinter,C,故障者リスト(今季絶望〜長期),Knee
BAL,ボルチモア・レイブンズ,Jahquez Robinson,S,故障者リスト(今季絶望〜長期),Undisclosed
BAL,ボルチモア・レイブンズ,Skylar Thompson,QB,故障者リスト(今季絶望〜長期),Undisclosed
BUF,バッファロー・ビルズ,Tyrell Shavers,WR,出場不可,Knee - ACL
BUF,バッファロー・ビルズ,Dorian Strong,CB,出場不可,Neck
BUF,バッファロー・ビルズ,Zane Durant,DT,故障者リスト(今季絶望〜長期),Undisclosed
CAR,カロライナ・パンサーズ,Taylor Moton,OT,出場不可,Illness
CAR,カロライナ・パンサーズ,Ikem Ekwonu,OT,出場不可,Knee
CAR,カロライナ・パンサーズ,Tershawn Wharton,DT,出場不可,Neck
CAR,カロライナ・パンサーズ,Trevor Etienne,RB,故障者リスト(今季絶望〜長期),Ankle
CAR,カロライナ・パンサーズ,Brady Christensen,G,故障者リスト(今季絶望〜長期),Hamstring
CAR,カロライナ・パンサーズ,Bam Martin-Scott,LB,故障者リスト(今季絶望〜長期),Hamstring
CHI,シカゴ・ベアーズ,Kyler Gordon,CB,出場不可,Calf
CHI,シカゴ・ベアーズ,Shemar Turner,DT,出場不可,Knee - ACL
CHI,シカゴ・ベアーズ,Noah Sewell,LB,出場不可,Achilles
CHI,シカゴ・ベアーズ,Dallis Flowers,CB,故障者リスト(今季絶望〜長期),Leg
CHI,シカゴ・ベアーズ,Jonathan Garvin,DE,故障者リスト(今季絶望〜長期),Undisclosed
CHI,シカゴ・ベアーズ,Hayden Large,TE,故障者リスト(今季絶望〜長期),Undisclosed
CHI,シカゴ・ベアーズ,Coby Bryant,S,故障者リスト(今季絶望〜長期),Knee
CHI,シカゴ・ベアーズ,Ruben Hyppolite II,LB,故障者リスト(今季絶望〜長期),Shoulder
CHI,シカゴ・ベアーズ,Beanie Bishop Jr.,CB,故障者リスト(今季絶望〜長期),Suspension
CHI,シカゴ・ベアーズ,Tony Fields II,LB,故障者リスト(今季絶望〜長期),Undisclosed
CHI,シカゴ・ベアーズ,Brittain Brown,RB,故障者リスト(今季絶望〜長期),Undisclosed
CIN,シンシナティ・ベンガルズ,Brian Parker II,OT,故障者リスト(今季絶望〜長期),Undisclosed
CIN,シンシナティ・ベンガルズ,Ja'Sir Taylor,CB,故障者リスト(今季絶望〜長期),Undisclosed
CLE,クリーブランド・ブラウンズ,Jeremiah Owusu-Koramoah,LB,出場不可,Neck
CLE,クリーブランド・ブラウンズ,Joe Royer,TE,出場不可,Personal
CLE,クリーブランド・ブラウンズ,Dillon Gabriel,QB,故障者リスト(今季絶望〜長期),Back
CLE,クリーブランド・ブラウンズ,Kendrick Green,G,故障者リスト(今季絶望〜長期),Undisclosed
CLE,クリーブランド・ブラウンズ,Kalia Davis,DT,故障者リスト(今季絶望〜長期),Quadriceps
CLE,クリーブランド・ブラウンズ,Edefuan Ulofoshio,LB,故障者リスト(今季絶望〜長期),Biceps
CLE,クリーブランド・ブラウンズ,Elijah Chatman,DT,故障者リスト(今季絶望〜長期),Quadriceps
CLE,クリーブランド・ブラウンズ,Travis Bell,DT,故障者リスト(今季絶望〜長期),Eye
CLE,クリーブランド・ブラウンズ,Alex Wright,DE,故障者リスト(今季絶望〜長期),Achilles
