選手名,ポジション,2025年所属,2025年所属_チーム名,2026年所属,2026年所属_チーム名,動向
Myles Garrett,DE,CLE,クリーブランド・ブラウンズ,LAR,ロサンゼルス・ラムズ,移籍
A.J. Brown,WR,PHI,フィラデルフィア・イーグルス,NE,ニューイングランド・ペイトリオッツ,移籍
Jaylen Waddle,WR,MIA,マイアミ・ドルフィンズ,DEN,デンバー・ブロンコス,移籍
DJ Moore,WR,CHI,シカゴ・ベアーズ,BUF,バッファロー・ビルズ,移籍
Mike Evans,WR,TB,タンパベイ・バッカニアーズ,SF,サンフランシスコ・フォーティナイナーズ,移籍
Trent McDuffie,CB,KC,カンザスシティ・チーフス,LAR,ロサンゼルス・ラムズ,移籍
Minkah Fitzpatrick,S,MIA,マイアミ・ドルフィンズ,NYJ,ニューヨーク・ジェッツ,移籍
Jaylen Watson,CB,KC,カンザスシティ・チーフス,LAR,ロサンゼルス・ラムズ,移籍
Kenneth Walker III,RB,SEA,シアトル・シーホークス,KC,カンザスシティ・チーフス,移籍
David Montgomery,RB,DET,デトロイト・ライオンズ,HOU,ヒューストン・テキサンズ,移籍
Tyler Linderbaum,C,BAL,ボルチモア・レイブンズ,LV,ラスベガス・レイダース,移籍
Jared Verse,DE,LAR,ロサンゼルス・ラムズ,CLE,クリーブランド・ブラウンズ,移籍
Jonathan Greenard,LB,MIN,ミネソタ・バイキングス,PHI,フィラデルフィア・イーグルス,移籍
Rashan Gary,LB,GB,グリーンベイ・パッカーズ,DAL,ダラス・カウボーイズ,移籍
Trey Hendrickson,LB,CIN,シンシナティ・ベンガルズ,BAL,ボルチモア・レイブンズ,移籍
Bradley Chubb,LB,MIA,マイアミ・ドルフィンズ,BUF,バッファロー・ビルズ,移籍
Kirk Cousins,QB,ATL,アトランタ・ファルコンズ,LV,ラスベガス・レイダース,移籍
Tua Tagovailoa,QB,MIA,マイアミ・ドルフィンズ,ATL,アトランタ・ファルコンズ,移籍
Kyler Murray,QB,ARI,アリゾナ・カージナルス,MIN,ミネソタ・バイキングス,移籍
Geno Smith,QB,LV,ラスベガス・レイダース,NYJ,ニューヨーク・ジェッツ,移籍
Malik Willis,QB,GB,グリーンベイ・パッカーズ,MIA,マイアミ・ドルフィンズ,移籍
Dexter Lawrence II,DT,NYG,ニューヨーク・ジャイアンツ,CIN,シンシナティ・ベンガルズ,移籍
Boye Mafe,DE,SEA,シアトル・シーホークス,CIN,シンシナティ・ベンガルズ,移籍
Daniel Jones,QB,IND,インディアナポリス・コルツ,IND,インディアナポリス・コルツ,残留
Sam Darnold,QB,SEA,シアトル・シーホークス,SEA,シアトル・シーホークス,残留
Aaron Rodgers,QB,PIT,ピッツバーグ・スティーラーズ,PIT,ピッツバーグ・スティーラーズ,残留
Justin Fields,QB,NYJ,ニューヨーク・ジェッツ,KC,カンザスシティ・チーフス,移籍
Davante Adams,WR,LAR,ロサンゼルス・ラムズ,LAR,ロサンゼルス・ラムズ,残留
Micah Parsons,DE,GB,グリーンベイ・パッカーズ,GB,グリーンベイ・パッカーズ,残留
Jacoby Brissett,QB,ARI,アリゾナ・カージナルス,ARI,アリゾナ・カージナルス,残留
Deshaun Watson,QB,CLE,クリーブランド・ブラウンズ,CLE,クリーブランド・ブラウンズ,残留
Cooper Rush,QB,BAL,ボルチモア・レイブンズ,ATL,アトランタ・ファルコンズ,移籍
Joe Flacco,QB,CIN,シンシナティ・ベンガルズ,CIN,シンシナティ・ベンガルズ,残留
Carson Wentz,QB,MIN,ミネソタ・バイキングス,MIN,ミネソタ・バイキングス,残留
