略称,チーム名,得点_試合平均,得点_順位,総獲得ヤード_試合平均,総ヤード_順位,パスヤード_試合平均,パスヤード_順位,ランヤード_試合平均,ランヤード_順位,1プレー平均ヤード,パス試投数,ラン試行数,パス比率_%,パス成功率_%,QBレーティング,パスTD,ランTD,1試合平均ファーストダウン,3rdダウン成功率_%,4thダウン成功率_%,レッドゾーンTD率_%,平均攻撃時間_分,ターンオーバー喪失,被サック
ARI,アリゾナ・カージナルス,20.9,23,347.6,14,232.6,7,93.1,31,542.9,649.0,366.0,63.9,65.8,92.5,29,9,19.53,41.52,42.86,54.10,29.8,21,59
ATL,アトランタ・ファルコンズ,20.8,24,343.6,17,207.2,19,125.8,8,553.9,545.0,477.0,53.3,60.9,86.7,19,17,19.41,33.33,50.00,62.00,30.0,18,26
BAL,ボルチモア・レイブンズ,24.9,11,349.4,13,175.6,27,156.6,2,607.9,422.0,507.0,45.4,65.9,96.7,23,23,18.47,40.89,60.00,45.76,29.2,23,45
BUF,バッファロー・ビルズ,28.3,4,393.8,3,216.6,15,159.6,1,613.9,495.0,547.0,47.5,69.5,104.6,29,30,22.00,44.76,59.38,66.15,33.1,19,40
CAR,カロライナ・パンサーズ,18.3,27,310.6,27,179.3,26,116.3,19,514.9,515.0,461.0,52.8,63.9,87.9,24,9,18.00,36.10,67.50,53.33,29.8,23,35
CHI,シカゴ・ベアーズ,25.9,9,379.2,6,225.1,10,144.5,3,582.2,574.0,505.0,53.2,58.2,90.7,28,19,21.06,42.73,51.72,58.18,31.0,11,24
CIN,シンシナティ・ベンガルズ,24.4,12,343.2,18,235.6,6,93.6,29,548.1,640.0,381.0,62.7,64.4,91.0,36,11,20.71,43.44,70.00,66.67,30.1,24,36
CLE,クリーブランド・ブラウンズ,16.4,31,281.8,31,165.2,31,97.0,27,454.0,558.0,421.0,57.0,57.9,69.9,16,10,15.77,33.62,41.38,52.63,29.3,25,51
DAL,ダラス・カウボーイズ,27.7,7,403.1,1,266.3,2,125.6,9,610.2,624.0,465.0,57.3,67.1,98.1,31,18,23.12,41.15,62.86,56.92,30.8,21,31
DEN,デンバー・ブロンコス,23.6,14,349.9,12,223.9,11,118.7,16,544.9,613.0,456.0,57.3,63.3,87.7,25,18,19.65,41.20,50.00,54.39,31.2,17,23
DET,デトロイト・ライオンズ,28.3,4,386.7,5,253.1,3,120.1,14,616.2,582.0,442.0,56.8,67.7,105.3,35,21,20.35,38.79,58.07,60.94,30.6,15,39
GB,グリーンベイ・パッカーズ,23.0,16,346.0,16,212.8,17,119.8,15,576.4,489.0,492.0,49.8,67.1,102.5,26,18,19.65,48.78,56.00,57.63,29.8,13,29
HOU,ヒューストン・テキサンズ,23.8,13,341.6,19,218.1,14,108.9,22,525.9,582.0,475.0,55.1,62.5,89.8,24,9,19.00,37.23,57.90,44.44,31.8,12,31
IND,インディアナポリス・コルツ,27.4,8,358.4,9,227.8,9,118.1,17,594.5,547.0,442.0,55.3,65.8,92.6,25,27,20.71,42.56,66.67,63.64,29.6,23,29
JAX,ジャクソンビル・ジャガーズ,27.9,6,351.9,11,222.3,12,115.1,20,545.2,563.0,489.0,53.5,61.1,91.1,29,22,20.94,39.17,58.62,61.76,31.9,18,41
KC,カンザスシティ・チーフス,21.3,21,337.6,20,214.1,16,106.6,25,535.6,584.0,430.0,57.6,62.2,86.5,23,15,19.82,37.44,75.00,57.63,30.2,15,47
LAC,ロサンゼルス・チャージャーズ,21.6,20,354.1,10,212.2,18,121.6,12,548.3,569.0,466.0,55.0,64.5,89.8,26,10,19.47,45.82,57.14,47.37,32.7,21,60
LAR,ロサンゼルス・ラムズ,30.5,1,402.2,2,268.1,1,126.6,7,629.2,598.0,465.0,56.3,64.9,108.9,46,17,23.29,39.58,66.67,63.16,30.8,15,23
LV,ラスベガス・レイダース,14.2,32,269.8,32,167.7,28,77.5,32,466.4,515.0,369.0,58.3,66.0,81.1,20,5,15.06,33.80,40.63,50.00,28.0,23,64
MIA,マイアミ・ドルフィンズ,20.4,25,315.6,26,180.5,25,120.2,13,561.1,479.0,432.0,52.6,67.2,87.3,23,14,17.12,34.90,47.83,54.17,29.0,24,38
MIN,ミネソタ・バイキングス,20.2,26,297.0,28,166.7,29,108.3,23,522.9,484.0,410.0,54.1,61.6,75.3,18,15,17.24,31.80,62.50,56.86,28.3,30,60
NE,ニューイングランド・ペイトリオッツ,28.8,2,389.2,4,250.5,4,128.9,6,644.2,502.0,494.0,50.4,71.9,112.7,31,22,21.18,42.93,72.00,57.14,31.3,16,48
NO,ニューオーリンズ・セインツ,18.0,28,331.2,22,219.3,13,94.3,28,519.6,591.0,435.0,57.6,67.2,88.7,19,9,18.77,39.46,41.18,44.44,28.6,24,49
NYG,ニューヨーク・ジャイアンツ,22.4,17,346.2,15,204.4,21,129.1,5,545.5,526.0,511.0,50.7,61.4,87.9,21,22,20.41,40.18,46.15,47.46,31.0,17,48
NYJ,ニューヨーク・ジェッツ,17.6,29,287.1,29,140.3,32,123.3,10,471.7,494.0,456.0,52.0,60.3,75.0,15,11,16.00,34.93,43.90,44.74,28.2,23,60
PHI,フィラデルフィア・イーグルス,22.3,19,321.6,24,194.3,23,116.9,18,540.8,497.0,478.0,51.0,64.0,96.1,26,17,18.00,37.14,52.38,70.45,30.2,15,35
PIT,ピッツバーグ・スティーラーズ,23.4,15,316.9,25,202.4,22,103.3,26,542.9,550.0,407.0,57.5,66.4,93.8,26,16,17.71,40.00,52.17,58.82,28.4,15,31
SEA,シアトル・シーホークス,28.4,3,362.3,7,228.1,8,123.3,10,604.6,481.0,507.0,48.7,67.6,97.9,25,19,20.00,39.81,58.33,54.24,30.2,28,27
SF,サンフランシスコ・フォーティナイナーズ,25.7,10,360.9,8,244.5,5,106.9,24,566.3,574.0,481.0,54.4,69.3,98.8,33,15,22.29,49.77,59.09,65.15,30.9,22,27
TB,タンパベイ・バッカニアーズ,22.4,18,335.4,21,205.9,20,114.5,21,528.8,558.0,472.0,54.2,62.9,89.9,26,13,19.53,41.23,44.83,52.00,31.9,16,38
TEN,テネシー・タイタンズ,16.7,30,284.1,30,166.1,30,93.5,30,465.5,570.0,378.0,60.1,59.6,78.4,15,9,15.35,31.90,45.71,57.58,29.1,19,56
