ラウンド,アウェイ,アウェイ_チーム名,アウェイ得点,ホーム,ホーム_チーム名,ホーム得点,勝者,勝者_チーム名
ワイルドカード,LAR,ロサンゼルス・ラムズ,34,CAR,カロライナ・パンサーズ,31,LAR,ロサンゼルス・ラムズ
ワイルドカード,GB,グリーンベイ・パッカーズ,27,CHI,シカゴ・ベアーズ,31,CHI,シカゴ・ベアーズ
ワイルドカード,BUF,バッファロー・ビルズ,27,JAX,ジャクソンビル・ジャガーズ,24,BUF,バッファロー・ビルズ
ワイルドカード,SF,サンフランシスコ・フォーティナイナーズ,23,PHI,フィラデルフィア・イーグルス,19,SF,サンフランシスコ・フォーティナイナーズ
ワイルドカード,LAC,ロサンゼルス・チャージャーズ,3,NE,ニューイングランド・ペイトリオッツ,16,NE,ニューイングランド・ペイトリオッツ
ワイルドカード,HOU,ヒューストン・テキサンズ,30,PIT,ピッツバーグ・スティーラーズ,6,HOU,ヒューストン・テキサンズ
ディビジョナル,BUF,バッファロー・ビルズ,30,DEN,デンバー・ブロンコス,33,DEN,デンバー・ブロンコス
ディビジョナル,SF,サンフランシスコ・フォーティナイナーズ,6,SEA,シアトル・シーホークス,41,SEA,シアトル・シーホークス
ディビジョナル,HOU,ヒューストン・テキサンズ,16,NE,ニューイングランド・ペイトリオッツ,28,NE,ニューイングランド・ペイトリオッツ
ディビジョナル,LAR,ロサンゼルス・ラムズ,20,CHI,シカゴ・ベアーズ,17,LAR,ロサンゼルス・ラムズ
カンファレンス決勝,NE,ニューイングランド・ペイトリオッツ,10,DEN,デンバー・ブロンコス,7,NE,ニューイングランド・ペイトリオッツ
カンファレンス決勝,LAR,ロサンゼルス・ラムズ,27,SEA,シアトル・シーホークス,31,SEA,シアトル・シーホークス
スーパーボウルLX,SEA,シアトル・シーホークス,29,NE,ニューイングランド・ペイトリオッツ,13,SEA,シアトル・シーホークス
