略称,チーム名,パワーランキング_2026,SB優勝オッズ,ヘッドコーチ,HC通算経験年数,開幕先発QB,主な新加入選手,2026ドラフト1巡目指名
ARI,アリゾナ・カージナルス,30,+50000,Mike LaFleur,0,Jacoby Brissett,,Jeremiyah Love(RB/3位)
ATL,アトランタ・ファルコンズ,26,+13000,Kevin Stefanski,6,Tua Tagovailoa,Tua Tagovailoa(QB/前MIA) / Cooper Rush(QB/前BAL),
BAL,ボルチモア・レイブンズ,8,+1000,Jesse Minter,0,Lamar Jackson,Trey Hendrickson(LB/前CIN),Vega Ioane(OG/14位)
BUF,バッファロー・ビルズ,3,+1000,Joe Brady,0,Josh Allen,DJ Moore(WR/前CHI) / Bradley Chubb(LB/前MIA),
CAR,カロライナ・パンサーズ,23,+9000,Dave Canales,2,Bryce Young,,Monroe Freeling(OT/19位)
CHI,シカゴ・ベアーズ,12,+2400,Ben Johnson,1,Caleb Williams,,Dillon Thieneman(S/25位)
CIN,シンシナティ・ベンガルズ,16,+1800,Zac Taylor,7,Joe Burrow,Dexter Lawrence II(DT/前NYG) / Boye Mafe(DE/前SEA),
CLE,クリーブランド・ブラウンズ,31,+20000,Todd Monken,0,Deshaun Watson,Jared Verse(DE/前LAR),Spencer Fano(OT/9位) / KC Concepcion(WR/24位)
DAL,ダラス・カウボーイズ,15,+2500,Brian Schottenheimer,1,Dak Prescott,Rashan Gary(LB/前GB),Caleb Downs(S/11位) / Malachi Lawrence(DE/23位)
DEN,デンバー・ブロンコス,4,+2000,Sean Payton,18,Bo Nix,Jaylen Waddle(WR/前MIA),
DET,デトロイト・ライオンズ,11,+1900,Dan Campbell,6,Jared Goff,,Blake Miller(OT/17位)
GB,グリーンベイ・パッカーズ,7,+2000,Matt LaFleur,7,Jordan Love,,
HOU,ヒューストン・テキサンズ,10,+1800,DeMeco Ryans,3,C.J. Stroud,David Montgomery(RB/前DET),Keylan Rutledge(OG/26位)
IND,インディアナポリス・コルツ,19,+6000,Shane Steichen,3,Daniel Jones,,
JAX,ジャクソンビル・ジャガーズ,17,+3000,Liam Coen,1,Trevor Lawrence,,
KC,カンザスシティ・チーフス,13,+1600,Andy Reid,27,Patrick Mahomes,Kenneth Walker III(RB/前SEA) / Justin Fields(QB/前NYJ),Mansoor Delane(CB/6位) / Peter Woods(DT/29位)
LAC,ロサンゼルス・チャージャーズ,14,+1700,Jim Harbaugh,6,Justin Herbert,,Akheem Mesidor(OLB/22位)
LAR,ロサンゼルス・ラムズ,1,+500,Sean McVay,9,Matthew Stafford,Myles Garrett(DE/前CLE) / Trent McDuffie(CB/前KC) / Jaylen Watson(CB/前KC),Ty Simpson(QB/13位)
LV,ラスベガス・レイダース,27,+15000,Klint Kubiak,0,Kirk Cousins,Tyler Linderbaum(C/前BAL) / Kirk Cousins(QB/前ATL),Fernando Mendoza(QB/1位)
MIA,マイアミ・ドルフィンズ,32,+35000,Jeff Hafley,0,Malik Willis,Malik Willis(QB/前GB),Kadyn Proctor(OT/12位) / Chris Johnson(CB/27位)
MIN,ミネソタ・バイキングス,22,+5000,Kevin O'Connell,4,Kyler Murray,Kyler Murray(QB/前ARI),Caleb Banks(DE/18位)
NE,ニューイングランド・ペイトリオッツ,6,+1800,Mike Vrabel,7,Drake Maye,A.J. Brown(WR/前PHI),Caleb Lomu(OT/28位)
NO,ニューオーリンズ・セインツ,25,+9000,Kellen Moore,1,Tyler Shough,,Jordyn Tyson(WR/8位)
NYG,ニューヨーク・ジャイアンツ,24,+7000,John Harbaugh,18,Jaxson Dart,,Arvell Reese(LB/5位) / Francis Mauigoa(OG/10位)
NYJ,ニューヨーク・ジェッツ,29,+20000,Aaron Glenn,1,Geno Smith,Minkah Fitzpatrick(S/前MIA) / Geno Smith(QB/前LV),David Bailey(OLB/2位) / Kenyon Sadiq(TE/16位) / Omar Cooper Jr.(WR/30位)
PHI,フィラデルフィア・イーグルス,5,+1700,Nick Sirianni,5,Jalen Hurts,Jonathan Greenard(LB/前MIN),Makai Lemon(WR/20位)
PIT,ピッツバーグ・スティーラーズ,21,+5000,Mike McCarthy,18,Aaron Rodgers,,Max Iheanachor(OT/21位)
SEA,シアトル・シーホークス,2,+1200,Mike Macdonald,2,Sam Darnold,,Jadarian Price(RB/32位)
SF,サンフランシスコ・フォーティナイナーズ,9,+1900,Kyle Shanahan,9,Brock Purdy,Mike Evans(WR/前TB),
TB,タンパベイ・バッカニアーズ,18,+5500,Todd Bowles,9,Baker Mayfield,,Rueben Bain Jr.(DE/15位)
TEN,テネシー・タイタンズ,28,+13000,Robert Saleh,4,Cam Ward,,Carnell Tate(WR/4位) / Keldric Faulk(DE/31位)
WSH,ワシントン・コマンダーズ,20,+6000,Dan Quinn,8,Jayden Daniels,,Sonny Styles(LB/7位)
