略称,チーム名,パス攻撃_ヤード,パス攻撃_順位,パス攻撃_点,ラン攻撃_ヤード,ラン攻撃_順位,ラン攻撃_点,被パスヤード,パス守備_順位,パス守備_点,被ランヤード,ラン守備_順位,ラン守備_点,総獲得ヤード,総被ヤード
ARI,アリゾナ・カージナルス,232.6,7,81,93.1,31,3,230.8,24,26,126.9,25,23,325.8,357.7
ATL,アトランタ・ファルコンズ,207.2,19,42,125.8,8,77,200.4,13,61,126.2,24,26,333.0,326.6
BAL,ボルチモア・レイブンズ,175.6,27,16,156.6,2,97,247.9,30,6,106.6,10,71,332.2,354.6
BUF,バッファロー・ビルズ,216.6,15,55,159.6,1,100,156.9,1,100,136.2,28,13,376.3,293.1
CAR,カロライナ・パンサーズ,179.3,26,19,116.3,19,42,203.9,15,55,123.3,20,39,295.6,327.2
CHI,シカゴ・ベアーズ,225.1,10,71,144.5,3,94,227.2,22,32,134.5,27,16,369.5,361.8
CIN,シンシナティ・ベンガルズ,235.6,6,84,93.6,29,10,233.8,26,19,147.1,32,0,329.2,380.9
CLE,クリーブランド・ブラウンズ,165.2,31,3,97.0,27,16,167.2,3,94,116.4,16,52,262.2,283.6
DAL,ダラス・カウボーイズ,266.3,2,97,125.6,9,74,251.5,32,0,125.5,23,29,391.9,377.0
DEN,デンバー・ブロンコス,223.9,11,68,118.7,16,52,187.2,7,81,91.1,2,97,342.6,278.2
DET,デトロイト・ライオンズ,253.1,3,94,120.1,14,58,217.4,20,39,114.5,14,58,373.2,331.9
GB,グリーンベイ・パッカーズ,212.8,17,48,119.8,15,55,194.1,11,68,117.7,18,45,332.6,311.8
HOU,ヒューストン・テキサンズ,218.1,14,58,108.9,22,32,183.5,6,84,93.7,4,90,327.0,277.2
IND,インディアナポリス・コルツ,227.8,9,74,118.1,17,48,247.9,31,3,101.9,7,81,345.9,349.8
JAX,ジャクソンビル・ジャガーズ,222.3,12,65,115.1,20,39,218.1,21,35,85.6,1,100,337.4,303.6
KC,カンザスシティ・チーフス,214.1,16,52,106.6,25,23,195.8,12,65,105.7,9,74,320.6,301.5
LAC,ロサンゼルス・チャージャーズ,212.2,18,45,121.6,12,65,179.9,5,87,105.4,8,77,333.8,285.2
LAR,ロサンゼルス・ラムズ,268.1,1,100,126.6,7,81,216.7,19,42,110.8,12,65,394.6,327.5
LV,ラスベガス・レイダース,167.7,28,13,77.5,32,0,201.0,14,58,116.8,17,48,245.2,317.8
MIA,マイアミ・ドルフィンズ,180.5,25,23,120.2,13,61,216.4,18,45,132.4,26,19,300.7,348.8
MIN,ミネソタ・バイキングス,166.7,29,10,108.3,23,29,158.5,2,97,124.1,21,35,275.0,282.6
NE,ニューイングランド・ペイトリオッツ,250.5,4,90,128.9,6,84,193.5,9,74,101.7,6,84,379.4,295.2
NO,ニューオーリンズ・セインツ,219.3,13,61,94.3,28,13,179.2,4,90,120.6,19,42,313.6,299.8
NYG,ニューヨーク・ジャイアンツ,204.4,21,35,129.1,5,87,214.2,16,52,145.3,31,3,333.5,359.5
NYJ,ニューヨーク・ジェッツ,140.3,32,0,123.3,10,71,216.1,17,48,139.5,29,10,263.6,355.6
PHI,フィラデルフィア・イーグルス,194.3,23,29,116.9,18,45,189.8,8,77,124.4,22,32,311.2,314.2
PIT,ピッツバーグ・スティーラーズ,202.4,22,32,103.3,26,19,243.9,29,10,113.1,13,61,305.6,356.9
SEA,シアトル・シーホークス,228.1,8,77,123.3,11,68,193.9,10,71,91.9,3,94,351.4,285.9
SF,サンフランシスコ・フォーティナイナーズ,244.5,5,87,106.9,24,26,232.4,25,23,107.8,11,68,351.4,340.2
TB,タンパベイ・バッカニアーズ,205.9,20,39,114.5,21,35,238.2,27,16,99.1,5,87,320.4,337.2
TEN,テネシー・タイタンズ,166.1,30,6,93.5,30,6,230.5,23,29,114.6,15,55,259.6,345.1
WSH,ワシントン・コマンダーズ,184.1,24,26,134.7,4,90,242.5,28,13,141.8,30,6,318.8,384.3
