略称,チーム名,FG成功数,FG試投数,FG成功率_%,最長FG,50yd以上FG成功,50yd以上FG試投,PAT成功率_%,キック総得点,パント数,パント平均ヤード,パント正味平均,敵陣20yd内パント,パントブロック被弾,キックリターン平均,キックリターンTD,パントリターン平均,パントリターンTD
ARI,アリゾナ・カージナルス,25,33,75.8,57,6,10,100.0,111,60,48.8,42.9,21,1,25.1,0,11.4,0
ATL,アトランタ・ファルコンズ,32,39,82.1,56,8,11,93.9,127,64,45.1,41.5,34,0,22.9,0,7.0,0
BAL,ボルチモア・レイブンズ,30,34,88.2,52,1,4,95.7,134,53,50.1,47.1,24,0,25.8,0,12.4,0
BUF,バッファロー・ビルズ,19,21,90.5,52,1,2,90.6,105,49,44.7,42.3,21,0,27.9,1,6.5,0
CAR,カロライナ・パンサーズ,24,29,82.8,57,2,5,90.0,99,56,47.2,41.6,27,0,24.1,0,7.3,0
CHI,シカゴ・ベアーズ,33,39,84.6,54,4,6,100.0,141,60,47.8,42.7,21,0,26.4,0,11.0,0
CIN,シンシナティ・ベンガルズ,25,28,89.3,63,5,8,93.2,116,65,50.5,46.3,28,0,25.4,1,9.6,0
CLE,クリーブランド・ブラウンズ,24,27,88.9,55,5,6,96.2,97,92,45.3,38.8,23,2,23.7,0,7.3,0
DAL,ダラス・カウボーイズ,36,42,85.7,64,11,17,97.9,155,41,48.6,42.5,14,0,25.6,0,7.5,0
DEN,デンバー・ブロンコス,28,32,87.5,57,4,6,100.0,123,75,47.6,43.5,30,0,25.3,0,14.1,1
DET,デトロイト・ライオンズ,27,34,79.4,59,4,9,96.4,135,56,46.6,43.5,28,0,26.6,0,8.3,1
GB,グリーンベイ・パッカーズ,28,34,82.4,61,4,6,92.9,123,49,51.7,47.2,18,0,25.2,0,5.6,0
HOU,ヒューストン・テキサンズ,48,52,92.3,57,9,13,100.0,174,72,47.6,43.0,30,0,26.1,0,10.6,0
IND,インディアナポリス・コルツ,34,36,94.4,60,7,9,93.3,144,44,48.8,46.0,22,0,28.8,0,9.1,0
JAX,ジャクソンビル・ジャガーズ,30,34,88.2,68,8,10,98.0,140,60,48.0,45.0,22,0,27.4,0,13.7,2
KC,カンザスシティ・チーフス,33,38,86.8,59,5,8,88.6,130,56,47.6,42.4,25,0,26.2,0,8.1,0
LAC,ロサンゼルス・チャージャーズ,38,41,92.7,59,5,6,97.1,148,60,47.9,42.8,23,0,24.7,0,6.5,0
LAR,ロサンゼルス・ラムズ,22,28,78.6,52,2,3,95.4,128,50,46.3,39.6,20,0,25.1,0,9.3,0
LV,ラスベガス・レイダース,22,27,81.5,60,5,8,95.5,87,74,46.1,39.6,24,2,27.1,0,6.0,0
MIA,マイアミ・ドルフィンズ,27,29,93.1,54,3,4,97.1,115,63,47.7,43.6,21,0,26.4,0,13.3,1
MIN,ミネソタ・バイキングス,33,35,94.3,62,11,13,100.0,130,65,49.0,45.4,25,0,26.0,0,9.5,0
NE,ニューイングランド・ペイトリオッツ,27,32,84.4,59,4,4,96.4,134,51,47.4,42.2,21,0,25.5,1,17.3,2
NO,ニューオーリンズ・セインツ,30,42,71.4,57,7,12,100.0,118,58,43.3,37.4,18,2,25.2,0,9.1,0
NYG,ニューヨーク・ジャイアンツ,23,26,88.5,55,1,3,87.8,105,59,44.5,38.3,17,0,27.7,1,8.7,0
NYJ,ニューヨーク・ジェッツ,28,29,96.6,58,7,8,100.0,106,71,46.7,44.8,32,0,29.9,1,13.4,2
PHI,フィラデルフィア・イーグルス,20,27,74.1,58,4,8,97.6,101,72,49.9,45.0,20,0,23.9,0,10.9,0
PIT,ピッツバーグ・スティーラーズ,27,32,84.4,60,9,11,97.7,123,62,45.5,42.7,26,0,24.2,0,8.8,0
SEA,シアトル・シーホークス,41,48,85.4,57,9,12,100.0,171,52,49.0,43.3,20,0,28.0,1,15.4,2
SF,サンフランシスコ・フォーティナイナーズ,33,36,91.7,59,6,7,90.9,139,44,43.6,37.2,22,0,27.2,0,11.6,0
TB,タンパベイ・バッカニアーズ,32,38,84.2,65,11,12,97.0,128,65,43.3,39.0,29,2,24.3,0,11.2,0
TEN,テネシー・タイタンズ,29,36,80.6,58,9,14,96.4,114,78,46.8,42.1,22,0,25.7,0,16.6,2
WSH,ワシントン・コマンダーズ,23,30,76.7,56,6,11,97.1,102,56,47.3,45.3,29,0,27.0,0,12.1,2
