略称,チーム名,カンファレンス,地区,勝,敗,分,勝率,総得点,総失点,得失点差,地区内成績,地区順位,プレーオフシード,プレーオフ結果,連勝連敗
ARI,アリゾナ・カージナルス,NFC,NFC West,3,14,0,.176,355,488,-133,0-6,4,16,プレーオフ進出なし,L9
ATL,アトランタ・ファルコンズ,NFC,NFC South,8,9,0,.471,353,401,-48,3-3,3,11,プレーオフ進出なし,W4
BAL,ボルチモア・レイブンズ,AFC,AFC North,8,9,0,.471,424,398,+26,3-3,2,9,プレーオフ進出なし,L1
BUF,バッファロー・ビルズ,AFC,AFC East,12,5,0,.706,481,365,+116,4-2,2,6,ディビジョナル敗退,W1
CAR,カロライナ・パンサーズ,NFC,NFC South,8,9,0,.471,311,380,-69,3-3,1,4,ワイルドカード敗退,L2
CHI,シカゴ・ベアーズ,NFC,NFC North,11,6,0,.647,441,415,+26,2-4,1,2,ディビジョナル敗退,L2
CIN,シンシナティ・ベンガルズ,AFC,AFC North,6,11,0,.353,414,492,-78,3-3,3,11,プレーオフ進出なし,L1
CLE,クリーブランド・ブラウンズ,AFC,AFC North,5,12,0,.294,279,379,-100,2-4,4,13,プレーオフ進出なし,W2
DAL,ダラス・カウボーイズ,NFC,NFC East,7,9,1,.441,471,511,-40,4-2,2,12,プレーオフ進出なし,L1
DEN,デンバー・ブロンコス,AFC,AFC West,14,3,0,.824,401,311,+90,5-1,1,1,カンファレンス決勝敗退,W2
DET,デトロイト・ライオンズ,NFC,NFC North,9,8,0,.529,481,413,+68,2-4,4,9,プレーオフ進出なし,W1
GB,グリーンベイ・パッカーズ,NFC,NFC North,9,7,1,.559,391,360,+31,4-2,2,7,ワイルドカード敗退,L4
HOU,ヒューストン・テキサンズ,AFC,AFC South,12,5,0,.706,404,295,+109,5-1,2,5,ディビジョナル敗退,W9
IND,インディアナポリス・コルツ,AFC,AFC South,8,9,0,.471,466,412,+54,2-4,3,8,プレーオフ進出なし,L7
JAX,ジャクソンビル・ジャガーズ,AFC,AFC South,13,4,0,.765,474,336,+138,5-1,1,3,ワイルドカード敗退,W8
KC,カンザスシティ・チーフス,AFC,AFC West,6,11,0,.353,362,328,+34,1-5,3,12,プレーオフ進出なし,L6
LAC,ロサンゼルス・チャージャーズ,AFC,AFC West,11,6,0,.647,368,340,+28,5-1,2,7,ワイルドカード敗退,L2
LAR,ロサンゼルス・ラムズ,NFC,NFC West,12,5,0,.706,518,346,+172,4-2,2,5,カンファレンス決勝敗退,W1
LV,ラスベガス・レイダース,AFC,AFC West,3,14,0,.176,241,432,-191,1-5,4,14,プレーオフ進出なし,W1
MIA,マイアミ・ドルフィンズ,AFC,AFC East,7,10,0,.412,347,424,-77,3-3,3,10,プレーオフ進出なし,L1
MIN,ミネソタ・バイキングス,NFC,NFC North,9,8,0,.529,344,333,+11,4-2,3,8,プレーオフ進出なし,W5
NE,ニューイングランド・ペイトリオッツ,AFC,AFC East,14,3,0,.824,490,320,+170,5-1,1,2,スーパーボウル敗退（準優勝）,W3
NO,ニューオーリンズ・セインツ,NFC,NFC South,6,11,0,.353,306,383,-77,3-3,4,13,プレーオフ進出なし,L1
NYG,ニューヨーク・ジャイアンツ,NFC,NFC East,4,13,0,.235,381,439,-58,2-4,4,15,プレーオフ進出なし,W2
NYJ,ニューヨーク・ジェッツ,AFC,AFC East,3,14,0,.176,300,503,-203,0-6,4,15,プレーオフ進出なし,L5
PHI,フィラデルフィア・イーグルス,NFC,NFC East,11,6,0,.647,379,325,+54,3-3,1,3,ワイルドカード敗退,L1
PIT,ピッツバーグ・スティーラーズ,AFC,AFC North,10,7,0,.588,397,387,+10,4-2,1,4,ワイルドカード敗退,W1
SEA,シアトル・シーホークス,NFC,NFC West,14,3,0,.824,483,292,+191,4-2,1,1,スーパーボウル制覇,W7
SF,サンフランシスコ・フォーティナイナーズ,NFC,NFC West,12,5,0,.706,437,371,+66,4-2,3,6,ディビジョナル敗退,L1
TB,タンパベイ・バッカニアーズ,NFC,NFC South,8,9,0,.471,380,411,-31,3-3,2,10,プレーオフ進出なし,W1
TEN,テネシー・タイタンズ,AFC,AFC South,3,14,0,.176,284,478,-194,0-6,4,16,プレーオフ進出なし,L2
WSH,ワシントン・コマンダーズ,NFC,NFC East,5,12,0,.294,356,451,-95,3-3,3,14,プレーオフ進出なし,W1
