略称,チーム名,チーム名_英語,本拠地,ニックネーム,カンファレンス,地区,スタジアム,スタジアム所在地,屋内外,メインカラー,サブカラー,ロゴファイル,SB制覇回数,最終制覇シーズン
ARI,アリゾナ・カージナルス,Arizona Cardinals,Arizona,Cardinals,NFC,NFC West,State Farm Stadium,"Glendale, AZ",屋内,#a40227,#ffffff,logos/ari.png,0,未制覇
ATL,アトランタ・ファルコンズ,Atlanta Falcons,Atlanta,Falcons,NFC,NFC South,Mercedes-Benz Stadium,"Atlanta, GA",屋内,#a71930,#000000,logos/atl.png,0,未制覇
BAL,ボルチモア・レイブンズ,Baltimore Ravens,Baltimore,Ravens,AFC,AFC North,M&T Bank Stadium,"Baltimore, MD",屋外,#29126f,#000000,logos/bal.png,2,2012
BUF,バッファロー・ビルズ,Buffalo Bills,Buffalo,Bills,AFC,AFC East,Highmark Stadium,"Orchard Park, NY",屋外,#00338d,#d50a0a,logos/buf.png,0,未制覇
CAR,カロライナ・パンサーズ,Carolina Panthers,Carolina,Panthers,NFC,NFC South,Bank of America Stadium,"Charlotte, NC",屋外,#0085ca,#000000,logos/car.png,0,未制覇
CHI,シカゴ・ベアーズ,Chicago Bears,Chicago,Bears,NFC,NFC North,Soldier Field,"Chicago, IL",屋外,#0b1c3a,#e64100,logos/chi.png,1,1985
CIN,シンシナティ・ベンガルズ,Cincinnati Bengals,Cincinnati,Bengals,AFC,AFC North,Paycor Stadium,"Cincinnati, OH",屋外,#fb4f14,#000000,logos/cin.png,0,未制覇
CLE,クリーブランド・ブラウンズ,Cleveland Browns,Cleveland,Browns,AFC,AFC North,Huntington Bank Field,"Cleveland, OH",屋外,#472a08,#ff3c00,logos/cle.png,0,未制覇
DAL,ダラス・カウボーイズ,Dallas Cowboys,Dallas,Cowboys,NFC,NFC East,AT&T Stadium,"Arlington, TX",屋内,#002a5c,#b0b7bc,logos/dal.png,5,1995
DEN,デンバー・ブロンコス,Denver Broncos,Denver,Broncos,AFC,AFC West,Empower Field at Mile High,"Denver, CO",屋外,#0a2343,#fc4c02,logos/den.png,3,2015
DET,デトロイト・ライオンズ,Detroit Lions,Detroit,Lions,NFC,NFC North,Ford Field,"Detroit, MI",屋内,#0076b6,#bbbbbb,logos/det.png,0,未制覇
